【新品发售】联想 小新Air14 2020六核锐龙R5-4600笔记本电脑超轻薄便携办公手提学生游戏本I5官方旗舰店商务,3299.00,264人付款,联想睿坤专卖店,山东 济南
【61劲省500】ASUS华硕VivoBook15S十代i7/i5轻薄便携学生商务办公女生超薄游戏手提官方官网V5000,3999.00,440人付款,asus华硕金硕专卖店,广东 广州
【高配16G+指纹解锁】2020款全新15.6笔记本电脑轻薄便携女生款超薄学生办公用商务手提金属本LOL游戏本,1568.00,391人付款,巴硕旗舰店,广东 深圳
Acer/宏碁蜂鸟Fun Plus 十代酷睿i5 MX350独显窄边笔记本电脑学生轻薄便携商务办公手提游戏旗舰air本本小新,3999.00,144人付款,宏碁瑞畅专卖店,广东 广州
Hasee/神舟 战神 Z7M-CU5NA K670 G7 G8 TX6M7学生游戏笔记本电脑,2899.00,264人付款,feitzx,上海
【新品首发】联想 拯救者 Y7000P 2020 十代酷睿i7游戏学生酷睿四核六核电竞屏,7999.00,358人付款,来酷智生活旗舰店,北京
【新品】HP惠普官方旗舰店官网光影精灵6代电竞游戏本十代酷睿笔记本电脑gtx1650ti暗夜暗影精灵学生吃鸡手提,6799.00,101人付款,hp惠普美潮专卖店,上海
联想小新Pro13 锐龙 13.3英寸 2020款R5/I5/I7高清轻薄笔记本电脑,4349.00,341人付款,oytchao,上海
【24期免息】小米RedmiBook 14 锐龙版R5轻薄便携商务办公学生手提笔记本电苏宁易购官方旗舰店,3999.00,192人付款,苏宁易购官方旗舰店,江苏 南京
【24期免息】2020新款 Apple/苹果 MacBook Pro 13.3英寸1.4GHz四核八代i5 8G内存 256G/512G固态,11499.00,147人付款,苏宁易购官方旗舰店,江苏 南京
【开门红限时抢购】华为/HUAWEI MateBook 13 2020款英特尔十代 i5+16GB+512GB SSD独显 Windows版,5999.00,3007人付款,华为官方旗舰店,广东 深圳
【现货即发】神舟战神ZX6/ZX7 九代酷睿i5 GTX1650/1660Ti独显专业电竞游戏本学生便携手提,5199.00,930人付款,神舟电脑旗舰店,广东 深圳
【店铺爆款】联想小新Air14 2020 十代酷睿i5/i7 14英寸全面屏轻薄本笔记本 网课推荐,5699.00,4061人付款,联想官方旗舰店,上海
【新品全款预定】Lenovo/联想 IdeaPad 14s 十代酷睿i3 i3-1005G1/8G内存/512G固态14英寸轻薄本,3699.00,68人付款,联想官方旗舰店,上海
【开门红限时抢购】华为/HUAWEI MateBook 13 2020款英特尔十代 i7+16GB+512GB SSD独显 Windows版,6999.00,754人付款,华为官方旗舰店,广东 深圳
新品【暗影精灵5代】HP/惠普 光影精灵五代 暗夜精灵5pro吃鸡游戏本144HZ电竞屏学生1660ti游戏,6299.00,807人付款,hp惠普庞贝专卖店,上海
